SiPM_ID,AsAd_ID,AGET_ID,CHANNEL_ID
24,0,0,0
87,0,0,1
25,0,0,2
86,0,0,3
26,0,0,4
85,0,0,5
27,0,0,6
84,0,0,7
28,0,0,8
83,0,0,9
29,0,0,10
82,0,0,12
30,0,0,13
81,0,0,14
31,0,0,15
80,0,0,16
16,0,0,17
95,0,0,18
17,0,0,19
94,0,0,20
18,0,0,21
93,0,0,23
19,0,0,24
92,0,0,25
20,0,0,26
91,0,0,27
21,0,0,28
90,0,0,29
22,0,0,30
89,0,0,31
23,0,0,32
88,0,0,33
0,0,0,34
79,0,0,35
1,0,0,36
78,0,0,37
2,0,0,38
77,0,0,39
3,0,0,40
76,0,0,41
4,0,0,42
75,0,0,43
5,0,0,44
74,0,0,46
6,0,0,47
73,0,0,48
7,0,0,49
72,0,0,50
8,0,0,51
71,0,0,52
9,0,0,53
70,0,0,54
10,0,0,55
69,0,0,57
11,0,0,58
68,0,0,59
12,0,0,60
67,0,0,61
13,0,0,62
66,0,0,63
14,0,0,64
65,0,0,65
15,0,0,66
64,0,0,67
56,0,1,0
119,0,1,1
57,0,1,2
118,0,1,3
58,0,1,4
117,0,1,5
59,0,1,6
116,0,1,7
60,0,1,8
115,0,1,9
61,0,1,10
114,0,1,12
62,0,1,13
113,0,1,14
63,0,1,15
112,0,1,16
48,0,1,17
127,0,1,18
49,0,1,19
126,0,1,20
50,0,1,21
125,0,1,23
51,0,1,24
124,0,1,25
52,0,1,26
123,0,1,27
53,0,1,28
122,0,1,29
54,0,1,30
121,0,1,31
55,0,1,32
120,0,1,33
32,0,1,34
111,0,1,35
33,0,1,36
110,0,1,37
34,0,1,38
109,0,1,39
35,0,1,40
108,0,1,41
36,0,1,42
107,0,1,43
37,0,1,44
106,0,1,46
38,0,1,47
105,0,1,48
39,0,1,49
104,0,1,50
40,0,1,51
103,0,1,52
41,0,1,53
102,0,1,54
42,0,1,55
101,0,1,57
43,0,1,58
100,0,1,59
44,0,1,60
99,0,1,61
45,0,1,62
98,0,1,63
46,0,1,64
97,0,1,65
47,0,1,66
96,0,1,67
152,0,2,0
215,0,2,1
153,0,2,2
214,0,2,3
154,0,2,4
213,0,2,5
155,0,2,6
212,0,2,7
156,0,2,8
211,0,2,9
157,0,2,10
210,0,2,12
158,0,2,13
209,0,2,14
159,0,2,15
208,0,2,16
144,0,2,17
223,0,2,18
145,0,2,19
222,0,2,20
146,0,2,21
221,0,2,23
147,0,2,24
220,0,2,25
148,0,2,26
219,0,2,27
149,0,2,28
218,0,2,29
150,0,2,30
217,0,2,31
151,0,2,32
216,0,2,33
128,0,2,34
207,0,2,35
129,0,2,36
206,0,2,37
130,0,2,38
205,0,2,39
131,0,2,40
204,0,2,41
132,0,2,42
203,0,2,43
133,0,2,44
202,0,2,46
134,0,2,47
201,0,2,48
135,0,2,49
200,0,2,50
136,0,2,51
199,0,2,52
137,0,2,53
198,0,2,54
138,0,2,55
197,0,2,57
139,0,2,58
196,0,2,59
140,0,2,60
195,0,2,61
141,0,2,62
194,0,2,63
142,0,2,64
193,0,2,65
143,0,2,66
192,0,2,67
184,0,3,0
247,0,3,1
185,0,3,2
246,0,3,3
186,0,3,4
245,0,3,5
187,0,3,6
244,0,3,7
188,0,3,8
243,0,3,9
189,0,3,10
242,0,3,12
190,0,3,13
241,0,3,14
191,0,3,15
240,0,3,16
176,0,3,17
255,0,3,18
177,0,3,19
254,0,3,20
178,0,3,21
253,0,3,23
179,0,3,24
252,0,3,25
180,0,3,26
251,0,3,27
181,0,3,28
250,0,3,29
182,0,3,30
249,0,3,31
183,0,3,32
248,0,3,33
160,0,3,34
239,0,3,35
161,0,3,36
238,0,3,37
162,0,3,38
237,0,3,39
163,0,3,40
236,0,3,41
164,0,3,42
235,0,3,43
165,0,3,44
234,0,3,46
166,0,3,47
233,0,3,48
167,0,3,49
232,0,3,50
168,0,3,51
231,0,3,52
169,0,3,53
230,0,3,54
170,0,3,55
229,0,3,57
171,0,3,58
228,0,3,59
172,0,3,60
227,0,3,61
173,0,3,62
226,0,3,63
174,0,3,64
225,0,3,65
175,0,3,66
224,0,3,67
